name,slug,description,tags
GTT Communications,gtt-communications,Carrier - GTT Communications,"provider,carrier"
Zayo Group,zayo-group,Carrier - Zayo Group,"provider,carrier"
Telia Carrier,telia-carrier,Carrier - Telia Carrier,"provider,carrier"
Telstra Global,telstra-global,Carrier - Telstra Global,"provider,carrier"
Singtel,singtel,Carrier - Singtel,"provider,carrier"
China Telecom Global,china-telecom-global,Carrier - China Telecom Global,"provider,carrier"
Crown Castle Fiber,crown-castle-fiber,Carrier - Crown Castle Fiber,"provider,carrier"
