name,slug,asn,description,tags
GTT Communications,gtt-communications,3257,Carrier - GTT Communications,"provider,carrier"
Zayo Group,zayo-group,6461,Carrier - Zayo Group,"provider,carrier"
Telia Carrier,telia-carrier,1299,Carrier - Telia Carrier,"provider,carrier"
Telstra Global,telstra-global,4637,Carrier - Telstra Global,"provider,carrier"
Singtel,singtel,7473,Carrier - Singtel,"provider,carrier"
China Telecom Global,china-telecom-global,4134,Carrier - China Telecom Global,"provider,carrier"
Crown Castle Fiber,crown-castle-fiber,23520,Carrier - Crown Castle Fiber,"provider,carrier"
